ACCELEROMETER X ,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude,LOCATION Altitude-google,LOCATION Altitude-atmospheric pressure,LOCATION Speed,LOCATION Accuracy,LOCATION ORIENTATION,Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.519,-6.5434,1.2173,-1.4467,-8.9585,-3.7179,-0.9281,-1.8909,3.1087,-1.2237,1.7189,0.8974,2.0,12.83,40.97,-15.88,227.23,82.15,-2.26,0.0,1016.95,56.58,50.38827,-4.144559,76.0,NaN,,3.35,10.0,36.3,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,21,30,69,120,29,21,01,337,*76::$GPGGA,195746,5023.296460,N,00408.674477,W,2,07,0.9,30.0,M,47.0,M,,*63::$GPVTG,36.2,T,36.2,M,2.1,N,3.8,K,D*2E::$GLGSV,3,3,09,84,09,244,*5B::$GPRMC,195746,A,5023.296460,N,00408.674477,W,2.1,36.2,300819,4.8,W,D*2B::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",356015,2019-08-30 20:57:46:874
1.3635,-12.818,-2.9139,-0.2171,-9.8041,0.0541,-1.753,-3.2898,-3.6267,-2.977,0.1024,1.0789,2.0,12.07,40.13,-19.73,133.32,88.69,76.01,0.0,1016.88,54.369,50.388275,-4.144542,78.0,NaN,,3.17,10.0,36.2,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,20,30,69,120,29,21,01,337,*77::$GPGGA,195747,5023.296346,N,00408.673545,W,2,07,0.9,29.0,M,47.0,M,,*6E::$GPVTG,36.3,T,36.3,M,1.8,N,3.3,K,D*2F::$GLGSV,3,3,09,84,09,244,*5B::$GPRMC,195747,A,5023.296346,N,00408.673545,W,1.8,36.3,300819,4.8,W,D*25::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",357016,2019-08-30 20:57:47:875
-1.5788,-8.9847,0.934,0.013,-9.6644,1.6643,-0.9944,0.0695,-1.2946,0.8112,-0.5905,-0.4184,2.0,15.14,41.42,-12.66,228.18,82.91,12.13,0.0,1016.87,68.26,50.38829,-4.144538,77.0,NaN,,3.82,10.0,36.1,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,20,30,69,120,28,21,01,337,*76::$GPGGA,195748,5023.296537,N,00408.672504,W,2,07,0.9,31.0,M,47.0,M,,*6C::$GPVTG,36.2,T,36.2,M,1.7,N,3.2,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195748,A,5023.296537,N,00408.672504,W,1.7,36.2,300819,4.8,W,D*20::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",358015,2019-08-30 20:57:48:874
-0.1067,-8.1502,0.3724,-0.6885,-9.7218,-1.0875,-1.8343,-0.4342,1.2685,1.4673,-0.1539,-0.1147,2.0,18.5,42.61,5.36,92.61,76.54,159.45,0.0,1016.75,59.707,50.388287,-4.144515,77.0,NaN,,4.18,10.0,69.0,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,21,30,69,120,22,21,01,337,*7D::$GPGGA,195749,5023.297537,N,00408.672252,W,2,07,0.9,30.0,M,47.0,M,,*69::$GPVTG,36.1,T,36.1,M,2.1,N,3.8,K,D*2E::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195749,A,5023.297537,N,00408.672252,W,2.1,36.1,300819,4.8,W,D*22::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",359016,2019-08-30 20:57:49:875
3.0038,-8.6966,2.3845,-0.4292,-8.9917,-3.8903,-4.6402,-7.9934,-5.894,-1.0147,0.4057,0.7155,2.0,16.83,43.1,2.81,45.71,66.59,173.88,0.0,1016.99,64.274,50.38829,-4.144503,77.0,NaN,,3.96,10.0,36.2,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,22,30,69,120,21,21,01,337,*7D::$GPGGA,195750,5023.297216,N,00408.670892,W,2,07,0.9,30.0,M,47.0,M,,*61::$GPVTG,69.0,T,69.0,M,2.3,N,4.2,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195750,A,5023.297216,N,00408.670892,W,2.3,69.0,300819,4.8,W,D*23::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.2,0.9,0.7*3B",360015,2019-08-30 20:57:50:874
0.9532,-3.3311,-0.6792,-1.2333,-8.3024,-5.0714,2.103,4.2285,5.8282,-0.0802,1.6245,0.2965,2.0,14.07,41.63,-6.94,31.08,57.85,166.33,0.0,1016.93,62.28,50.388287,-4.144486,77.0,NaN,,4.36,10.0,70.6,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,22,30,69,120,26,21,01,337,*7A::$GPGGA,195751,5023.297534,N,00408.670181,W,2,07,2.7,30.0,M,47.0,M,,*60::$GPVTG,36.2,T,36.2,M,2.1,N,4.0,K,D*21::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195751,A,5023.297534,N,00408.670181,W,2.1,36.2,300819,4.8,W,D*24::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,2.9,2.7,0.9*31",361016,2019-08-30 20:57:51:875
2.6434,-13.4402,3.4684,-0.999,-9.4768,-2.3159,3.945,-4.137,4.3795,-1.6185,1.7884,1.5787,2.0,10.39,40.34,-19.61,221.47,86.52,-10.73,0.0,1016.85,59.867,50.388287,-4.144486,77.0,NaN,,4.36,10.0,70.6,9 / 17,"$GPGSV,2,2,08,15,03,271,13,30,69,120,24,21,01,337,,28,09,142,*78::$GPGGA,195752,5023.297301,N,00408.669151,W,2,06,1.0,30.0,M,47.0,M,,*63::$GPVTG,70.6,T,70.6,M,2.4,N,4.4,K,D*20::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195752,A,5023.297301,N,00408.669151,W,2.4,70.6,300819,4.8,W,D*21::$GPGSA,A,3,05,07,09,13,15,30,,,,,,,1.3,1.0,0.8*37",362015,2019-08-30 20:57:52:874
-1.7701,-10.5229,-1.3776,0.4261,-9.6463,1.7141,-1.7801,-0.7839,-3.0278,-0.1118,-0.3568,-0.0839,2.0,14.33,41.57,-14.32,235.93,82.61,2.42,0.0,1016.88,55.307,50.388294,-4.144478,76.0,NaN,,2.7,10.0,36.3,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,23,30,69,120,26,21,01,337,*7B::$GPGGA,195753,5023.297365,N,00408.669181,W,2,07,1.4,29.0,M,47.0,M,,*60::$GPVTG,63.2,T,63.2,M,1.4,N,2.6,K,D*27::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195753,A,5023.297365,N,00408.669181,W,1.4,63.2,300819,4.8,W,D*2A::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.6,1.4,0.9*3D",363015,2019-08-30 20:57:53:874
0.3977,-8.0975,0.4347,-0.7669,-9.7766,-0.0039,1.2104,1.4886,0.7255,1.2305,-0.5172,-0.1605,2.0,19.46,42.02,4.1,96.04,76.92,155.71,0.0,1016.83,63.03,50.388317,-4.144454,77.0,NaN,,4.0,10.0,63.0,10 / 17,"$GPGSV,2,2,08,15,03,271,13,28,09,142,21,30,69,120,26,21,01,337,*79::$GPGGA,195754,5023.297815,N,00408.668658,W,2,07,1.1,29.0,M,47.0,M,,*6C::$GPVTG,36.3,T,36.3,M,1.5,N,2.7,K,D*27::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195754,A,5023.297815,N,00408.668658,W,1.5,36.3,300819,4.8,W,D*23::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.4,1.1,0.8*3B",364016,2019-08-30 20:57:54:875
1.5036,-6.3351,3.2666,-0.5273,-9.5227,-2.2825,1.7244,-3.5792,4.6796,2.0802,-0.3279,-0.2348,2.0,19.91,42.35,4.65,68.44,67.52,166.38,0.0,1016.7,60.381,50.38833,-4.144437,77.0,NaN,,4.97,10.0,46.7,10 / 17,"$GPGSV,2,2,08,15,03,271,11,28,09,142,23,30,69,120,22,21,01,337,*7D::$GPGGA,195755,5023.298919,N,00408.667236,W,2,07,1.1,30.0,M,47.0,M,,*64::$GPVTG,63.0,T,63.0,M,2.2,N,4.0,K,D*22::$GLGSV,3,3,09,84,08,244,*5A::$GPRMC,195755,A,5023.298919,N,00408.667236,W,2.2,63.0,300819,4.8,W,D*24::$GPGSA,A,3,05,07,09,13,15,28,30,,,,,,1.3,1.1,0.8*3C",365017,2019-08-30 20:57:55:876
