index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
66,0.0,50.386208,-4.14749,-1.6806,-9.6481,-0.4622,9.0,66016,2019-08-30 20:52:56:875,POINT (-4.14749 50.386208)
67,0.0,50.38621,-4.147482,-4.5127,-11.1135,-0.3802,9.0,67016,2019-08-30 20:52:57:875,POINT (-4.147482 50.38621)
68,0.0,50.386215,-4.147465,3.7358,-9.8763,1.5498,9.0,68015,2019-08-30 20:52:58:874,POINT (-4.147465 50.386215)
69,0.0,50.38622,-4.147464,0.8028,-3.2539,0.4446,9.0,69015,2019-08-30 20:52:59:874,POINT (-4.147464 50.38622)
70,0.0,50.386223,-4.147468,-2.9968,-11.4909,-1.7041,9.0,70015,2019-08-30 20:53:00:874,POINT (-4.147468 50.386223)
71,0.0,50.38623,-4.147449,-3.9621,-13.48,-4.0631,9.0,71015,2019-08-30 20:53:01:874,POINT (-4.147449 50.38623)
72,0.0,50.386234,-4.147423000000001,-2.3773,-9.1478,0.9786,9.0,72015,2019-08-30 20:53:02:874,POINT (-4.147423000000001 50.386234)
73,0.0,50.38624,-4.147404,-1.1377,-8.5774,0.5733,9.0,73015,2019-08-30 20:53:03:874,POINT (-4.147404 50.38624)
74,0.0,50.38625,-4.147422,1.9081,-10.4583,-4.2619,9.0,74015,2019-08-30 20:53:04:874,POINT (-4.147422 50.38625)
75,0.0,50.386253,-4.147396,0.502,-3.6839,1.2783,9.0,75015,2019-08-30 20:53:05:874,POINT (-4.147396 50.386253)
76,0.0,50.38626,-4.147399,-4.9552,-10.7294,-1.5699,9.0,76015,2019-08-30 20:53:06:874,POINT (-4.147399 50.38626)
77,0.0,50.386257,-4.1473949999999995,-2.3786,-9.9654,-0.1176,10.0,77015,2019-08-30 20:53:07:874,POINT (-4.147394999999999 50.386257)
78,0.0,50.386265,-4.147409,0.445,-8.252,-0.3628,10.0,78015,2019-08-30 20:53:08:874,POINT (-4.147409 50.386265)
79,0.0,50.386272,-4.147368,-3.0658,-11.5071,1.271,11.0,79015,2019-08-30 20:53:09:874,POINT (-4.147368 50.386272)
80,0.0,50.386272,-4.147344,1.3753,-10.5907,-2.9632,11.0,80015,2019-08-30 20:53:10:874,POINT (-4.147344 50.386272)
81,0.0,50.38627,-4.147318,1.7737,-7.0008,1.1532,10.0,81015,2019-08-30 20:53:11:874,POINT (-4.147318 50.38627)
82,0.0,50.386272,-4.147291,-1.1059999999999999,-12.5644,-2.3227,10.0,82015,2019-08-30 20:53:12:874,POINT (-4.147291 50.386272)
83,0.0,50.38628,-4.147266,-1.5171,-9.2897,-0.6527,10.0,83017,2019-08-30 20:53:13:876,POINT (-4.147266 50.38628)
84,0.0,50.386284,-4.1472739999999995,-5.0883,-9.3807,0.9227,10.0,84015,2019-08-30 20:53:14:874,POINT (-4.147273999999999 50.386284)
85,0.0,50.386288,-4.147265,1.3197,-9.9239,2.0459,10.0,85015,2019-08-30 20:53:15:874,POINT (-4.147265 50.386288)
86,0.0,50.386288,-4.147265,0.5902,-4.8815,0.2585,10.0,86016,2019-08-30 20:53:16:875,POINT (-4.147265 50.386288)
87,0.0,50.3863,-4.147227,-4.0233,-11.474,-1.7652,10.0,87015,2019-08-30 20:53:17:874,POINT (-4.147227 50.3863)
88,0.0,50.386307,-4.147224,-1.8495,-9.8471,-1.6886,10.0,88017,2019-08-30 20:53:18:876,POINT (-4.147224 50.386307)
